Target Returns,Backtest Period: 1,Backtest Period: 2,Backtest Period: 3,Backtest Period: 4,Backtest Period: 5,Backtest Period: 6,Backtest Period: 7,Backtest Period: 8,Backtest Period: 9,Backtest Period: 10,Backtest Period: 11,Backtest Period: 12,Backtest Period: 13,Backtest Period: 14,Backtest Period: 15,Backtest Period: 16,Backtest Period: 17,Backtest Period: 18,Backtest Period: 19,Backtest Period: 20,Backtest Period: 21,Backtest Period: 22,Backtest Period: 23,Backtest Period: 24,Backtest Period: 25,Backtest Period: 26,Backtest Period: 27,Backtest Period: 28,Backtest Period: 29,Backtest Period: 30,Backtest Period: 31,Backtest Period: 32,Backtest Period: 33,Backtest Period: 34,Backtest Period: 35,Backtest Period: 36,Backtest Period: 37,Backtest Period: 38,Backtest Period: 39,Backtest Period: 40,Backtest Period: 41,Backtest Period: 42,Backtest Period: 43,Backtest Period: 44,Backtest Period: 45,Backtest Period: 46,Backtest Period: 47,Backtest Period: 48,Backtest Period: 49,Backtest Period: 50
0.5,0.00784495,0.00686256,0.0066799,0.00590731,0.00836475,0.00740955,0.00866403,0.00836017,0.00763405,0.00756866,0.00844079,0.00903113,0.00937993,0.00947205,0.0113163,0.0119949,0.00872674,0.00922802,0.0129148,0.0122505,0.0160515,0.0174824,0.0206133,0.0207868,0.0184556,0.0157879,0.0135539,0.0144169,0.0105116,0.0111522,0.00958777,0.0091936,0.0135264,0.0126607,0.0160985,0.0127158,0.0108921,0.0107883,0.012666,0.013385,0.0129805,0.0112042,0.0111443,0.0104532,0.0109306,0.0105439,0.0128933,0.0135935,0.0139148,0.000118105
1,0.0100354,0.0122349,0.0106508,0.0101554,0.011837,0.00910951,0.0113389,0.00991631,0.0137793,0.0140764,0.0168438,0.01605,0.0143472,0.0143515,0.0179518,0.0182436,0.0151571,0.0174291,0.0216756,0.0247083,0.0235907,0.0304215,0.0288373,0.0257431,0.0250876,0.0229775,0.0242624,0.0183591,0.0157285,0.0175558,0.0143726,0.0173818,0.0214252,0.0188495,0.0238934,0.0170014,0.0167405,0.0199034,0.017217,0.0165855,0.0176053,0.0215124,0.0205332,0.0129336,0.0148298,0.0143746,0.0208628,0.0255469,0.021761,0.000153215
1.5,0.0205274,0.015992,0.0200438,0.0154761,0.0200475,0.015185,0.0178879,0.0194206,0.0192922,0.0272625,0.0235317,0.0204831,0.0176213,0.0233801,0.0224273,0.0240421,0.0198783,0.0253837,0.0342483,0.0369304,0.0360467,0.0414365,0.0395975,0.0397169,0.0302517,0.035296,0.0368125,0.0281904,0.0227382,0.0254663,0.0272102,0.023808,0.040288,0.0343935,0.0353027,0.0229143,0.0312325,0.0291931,0.0290817,0.0275444,0.0320041,0.0243023,0.0231295,0.0231108,0.0265459,0.0249189,0.0270991,0.0375439,0.0409509,0.000286033
2,0.0307859,0.0251158,0.0323261,0.0217192,0.0274455,0.0299129,0.0326787,0.0343947,0.033835,0.0356951,0.0409711,0.0350187,0.0283293,0.0270607,0.0345172,0.0380026,0.0259947,0.0276537,0.0486449,0.0536002,0.0516235,0.0648314,0.0559596,0.0473918,0.0395827,0.0452504,0.0521646,0.0412922,0.0307493,0.0407057,0.0376682,0.0398336,0.0456174,0.0477609,0.0497229,0.037092,0.0432079,0.0402683,0.0387637,0.0346947,0.0434875,0.0391086,0.0372093,0.0375276,0.043033,0.0331751,0.0422681,0.053456,0.0572,0.000375211
2.5,0.0429637,0.0355012,0.0449044,0.0362437,0.0448169,0.0353336,0.0432149,0.0445951,0.0537583,0.0468503,0.0512073,0.0412564,0.0425199,0.0393079,0.041146,0.0464312,0.0392311,0.0423056,0.0635063,0.0618792,0.0644808,0.090412,0.0683062,0.0695157,0.0493156,0.0652498,0.0710729,0.0481554,0.045284,0.0466149,0.0523383,0.0501376,0.0688566,0.064818,0.0729948,0.0461805,0.0564896,0.0598061,0.0548741,0.045768,0.0541181,0.0472955,0.0455215,0.0434513,0.0518298,0.0487705,0.0418864,0.0651167,0.0702686,0.000579131
3,0.0559433,0.0414709,0.0537696,0.0465978,0.0596636,0.0540205,0.0583578,0.0574675,0.0651491,0.0617174,0.0651947,0.0519102,0.0462943,0.0427733,0.0447248,0.0556985,0.0477767,0.0605161,0.0809641,0.0868726,0.0769277,0.119696,0.093425,0.0719721,0.0677304,0.0856747,0.0900592,0.0585575,0.0560204,0.0547811,0.0660589,0.0580846,0.086973,0.0795095,0.0900317,0.0568904,0.0699315,0.0747695,0.0631028,0.0634674,0.0575453,0.0659332,0.0546102,0.0608055,0.0639432,0.0591638,0.0577944,0.0926445,0.0999237,0.000833053
3.5,0.0777271,0.0579486,0.0758436,0.0661086,0.0836832,0.0769464,0.0752694,0.0731873,0.07256,0.0757538,0.0800238,0.0717828,0.0535988,0.0565181,0.0595396,0.065837,0.0644014,0.0752878,0.108172,0.110117,0.0978172,0.154846,0.104916,0.095721,0.0850993,0.117443,0.117751,0.0789134,0.063362,0.0732732,0.0814755,0.0789981,0.0995993,0.0971799,0.119347,0.0607056,0.0862602,0.091296,0.0838507,0.0744459,0.0772043,0.0731118,0.0727287,0.0607203,0.0850354,0.0786552,0.057586,0.0958293,0.0972397,0.000991158
4,0.103321,0.0718718,0.0914019,0.0734776,0.11191,0.0956889,0.0935703,0.0972288,0.0969278,0.0938761,0.105545,0.087308,0.062005,0.0608746,0.0766403,0.0850052,0.0741769,0.098578,0.11703,0.142137,0.11947,0.199087,0.130485,0.123297,0.100728,0.133925,0.14663,0.0891036,0.0816416,0.0781736,0.0966499,0.0941305,0.129491,0.116166,0.120246,0.0787057,0.112082,0.117711,0.0958639,0.0863455,0.0998634,0.078931,0.0798291,0.0672833,0.109302,0.0772221,0.0738296,0.112807,0.127126,0.00130417
4.5,0.114083,0.086058,0.118366,0.0955768,0.132212,0.114442,0.121145,0.117776,0.105535,0.120634,0.125924,0.111671,0.0785268,0.0758271,0.0847036,0.0969788,0.0937114,0.116051,0.146812,0.15841,0.143573,0.243925,0.161745,0.14952,0.122297,0.157305,0.177999,0.112194,0.0895427,0.0984836,0.122461,0.119518,0.153593,0.137364,0.149853,0.0991294,0.129701,0.125971,0.119757,0.107747,0.125522,0.0995798,0.0892055,0.0840568,0.11514,0.0965071,0.0922586,0.143071,0.161153,0.0015452
5,0.142294,0.107953,0.139518,0.112782,0.146569,0.124832,0.142135,0.137906,0.132235,0.150821,0.156517,0.139124,0.0971023,0.0925152,0.094873,0.119289,0.106426,0.143807,0.179229,0.193478,0.174376,0.289995,0.192585,0.179428,0.149301,0.191557,0.215561,0.138198,0.103063,0.112978,0.14128,0.148025,0.156989,0.143201,0.17007,0.121975,0.137325,0.15441,0.122138,0.119518,0.116805,0.12249,0.109222,0.102778,0.140865,0.102241,0.112874,0.156486,0.199326,0.00181571
