Target Returns,Backtest Period: 1,Backtest Period: 2,Backtest Period: 3,Backtest Period: 4,Backtest Period: 5,Backtest Period: 6,Backtest Period: 7,Backtest Period: 8,Backtest Period: 9,Backtest Period: 10,Backtest Period: 11,Backtest Period: 12,Backtest Period: 13,Backtest Period: 14,Backtest Period: 15,Backtest Period: 16,Backtest Period: 17,Backtest Period: 18,Backtest Period: 19,Backtest Period: 20,Backtest Period: 21,Backtest Period: 22,Backtest Period: 23,Backtest Period: 24,Backtest Period: 25,Backtest Period: 26,Backtest Period: 27,Backtest Period: 28,Backtest Period: 29,Backtest Period: 30,Backtest Period: 31,Backtest Period: 32,Backtest Period: 33,Backtest Period: 34,Backtest Period: 35,Backtest Period: 36,Backtest Period: 37,Backtest Period: 38,Backtest Period: 39,Backtest Period: 40,Backtest Period: 41,Backtest Period: 42,Backtest Period: 43,Backtest Period: 44,Backtest Period: 45,Backtest Period: 46,Backtest Period: 47,Backtest Period: 48,Backtest Period: 49,Backtest Period: 50
5.5,0.163822,0.132444,0.171302,0.138993,0.159682,0.129755,0.174969,0.16879,0.149404,0.18444,0.181214,0.169675,0.108677,0.110942,0.114056,0.134074,0.128861,0.165702,0.215256,0.216948,0.203256,0.345223,0.215611,0.215927,0.173282,0.229217,0.252332,0.166886,0.116352,0.13618,0.171093,0.146813,0.200659,0.180457,0.187909,0.134173,0.181821,0.185787,0.14663,0.143306,0.153928,0.13317,0.131339,0.123441,0.169258,0.12278,0.13567,0.202734,0.208634,0.00220998
6,0.195466,0.159193,0.206624,0.158976,0.192612,0.157287,0.200317,0.202854,0.142105,0.221492,0.216711,0.162215,0.129581,0.11451,0.135581,0.1594,0.141446,0.197906,0.248412,0.252767,0.234537,0.408879,0.253066,0.256626,0.204842,0.270327,0.296818,0.198599,0.130055,0.161595,0.183568,0.164849,0.226036,0.214247,0.222032,0.1461,0.197028,0.209963,0.145645,0.155184,0.167495,0.158133,0.155547,0.146047,0.200316,0.145265,0.146564,0.226215,0.234886,0.00264334
6.5,0.230897,0.174277,0.227056,0.176718,0.229081,0.187315,0.20611,0.240097,0.167705,0.247802,0.245491,0.190436,0.152373,0.13364,0.158807,0.174083,0.166343,0.215014,0.270431,0.296269,0.273282,0.47801,0.289734,0.299422,0.238871,0.308059,0.313816,0.22525,0.152315,0.176792,0.215643,0.194082,0.265333,0.250966,0.258827,0.171607,0.231081,0.245871,0.159584,0.18134,0.196289,0.176423,0.181841,0.158731,0.234048,0.151197,0.150744,0.266084,0.276564,0.00302516
7,0.269105,0.203665,0.265743,0.207535,0.251679,0.220095,0.226524,0.264356,0.195451,0.270342,0.274812,0.208889,0.17706,0.163259,0.168001,0.192974,0.181624,0.25014,0.312567,0.34285,0.299542,0.546813,0.340052,0.346758,0.26797,0.34286,0.360903,0.251692,0.15976,0.194078,0.250374,0.211527,0.307825,0.263587,0.298711,0.188952,0.277769,0.248792,0.184302,0.176466,0.200867,0.194488,0.210232,0.183232,0.270443,0.16454,0.174216,0.308973,0.321664,0.003523
7.5,0.305049,0.235509,0.307473,0.197806,0.291222,0.2425,0.263178,0.214427,0.20143,0.312106,0.316529,0.240394,0.203635,0.176351,0.160171,0.221856,0.199248,0.287857,0.357783,0.376954,0.33432,0.610579,0.380899,0.389163,0.301212,0.381049,0.412248,0.288964,0.183065,0.222546,0.272475,0.22951,0.341994,0.302151,0.34144,0.216783,0.307128,0.297199,0.19415,0.201571,0.230443,0.223126,0.214765,0.19932,0.255817,0.188465,0.199436,0.342469,0.353158,0.00394851
8,0.349004,0.269801,0.352349,0.227233,0.333691,0.278693,0.292357,0.245953,0.22986,0.346886,0.361017,0.242411,0.218443,0.199912,0.182271,0.252645,0.227142,0.328509,0.406079,0.428192,0.378359,0.693545,0.417823,0.437166,0.341692,0.431656,0.453818,0.323477,0.207997,0.241769,0.295479,0.261847,0.389308,0.343364,0.386935,0.246628,0.349214,0.337401,0.220271,0.204789,0.262058,0.265516,0.243332,0.211208,0.290511,0.187966,0.226385,0.390271,0.402903,0.00453993
8.5,0.395659,0.295691,0.400161,0.248117,0.37906,0.287174,0.344783,0.279662,0.260184,0.393568,0.408441,0.27402,0.247029,0.179672,0.216363,0.285625,0.246373,0.334846,0.457456,0.482754,0.425082,0.776416,0.469852,0.492227,0.379312,0.485945,0.509733,0.358924,0.227032,0.264647,0.320063,0.285765,0.424815,0.375866,0.422048,0.278394,0.394044,0.36491,0.233566,0.242069,0.295728,0.286358,0.274051,0.23761,0.327066,0.225367,0.255082,0.441218,0.441892,0.00511876
9,0.444752,0.325346,0.451207,0.280289,0.41717,0.32455,0.376689,0.315544,0.257746,0.443225,0.447003,0.272481,0.277415,0.212071,0.231052,0.306171,0.276773,0.376137,0.511913,0.540609,0.47464,0.868649,0.524728,0.54425,0.413093,0.54203,0.567486,0.395946,0.253959,0.296566,0.359133,0.321132,0.476538,0.406782,0.455331,0.312603,0.419142,0.408591,0.261338,0.257129,0.318911,0.320964,0.290989,0.265586,0.366002,0.252307,0.270169,0.495305,0.49652,0.00576352
9.5,0.496272,0.364166,0.492518,0.302267,0.478487,0.364225,0.422876,0.353603,0.28775,0.495791,0.498899,0.303814,0.266563,0.22351,0.257641,0.332408,0.308954,0.419844,0.504604,0.574539,0.526907,0.965738,0.57738,0.609767,0.459264,0.588424,0.631245,0.441045,0.270767,0.330293,0.388771,0.358577,0.531244,0.44476,0.505926,0.34816,0.491859,0.454747,0.290691,0.30031,0.355313,0.357558,0.323569,0.295133,0.382352,0.280785,0.300595,0.552567,0.554351,0.0062489
10,0.54615,0.384895,0.537397,0.337024,0.519969,0.406195,0.471746,0.377375,0.319401,0.551329,0.553657,0.336814,0.295894,0.247221,0.28562,0.368797,0.332829,0.465965,0.55834,0.627924,0.560324,1.06273,0.644229,0.675321,0.508015,0.65639,0.696372,0.484589,0.299713,0.353,0.431073,0.398099,0.588935,0.492397,0.559189,0.374555,0.531774,0.503392,0.321615,0.331812,0.377104,0.396142,0.358173,0.326255,0.423026,0.310799,0.332668,0.612954,0.615384,0.0069388
