Target Returns,Backtest Period: 1,Backtest Period: 2,Backtest Period: 3,Backtest Period: 4,Backtest Period: 5,Backtest Period: 6,Backtest Period: 7,Backtest Period: 8,Backtest Period: 9,Backtest Period: 10,Backtest Period: 11,Backtest Period: 12,Backtest Period: 13,Backtest Period: 14,Backtest Period: 15,Backtest Period: 16,Backtest Period: 17,Backtest Period: 18,Backtest Period: 19,Backtest Period: 20,Backtest Period: 21,Backtest Period: 22,Backtest Period: 23,Backtest Period: 24,Backtest Period: 25,Backtest Period: 26,Backtest Period: 27,Backtest Period: 28,Backtest Period: 29,Backtest Period: 30,Backtest Period: 31,Backtest Period: 32,Backtest Period: 33,Backtest Period: 34,Backtest Period: 35,Backtest Period: 36,Backtest Period: 37,Backtest Period: 38,Backtest Period: 39,Backtest Period: 40,Backtest Period: 41,Backtest Period: 42,Backtest Period: 43,Backtest Period: 44,Backtest Period: 45,Backtest Period: 46,Backtest Period: 47,Backtest Period: 48,Backtest Period: 49,Backtest Period: 50
5.5,6.59939,1.72538,-4.06744,-0.65144,6.4366,3.13237,1.10027,2.73116,-1.75353,-4.0154,7.66495,2.28269,0.775652,3.04458,7.44105,0.567532,-2.29504,-2.91113,-10.5798,4.77288,1.38241,-3.21803,-10.9647,-0.661347,-0.361365,2.52106,-2.9369,-4.97454,1.43888,-0.0198809,1.67496,-3.87777,5.50396,2.80663,4.78033,-3.11541,0.118498,4.32632,4.01895,0.961397,4.03284,7.93367,2.12424,1.48113,2.32964,2.10365,-5.98226,-0.507682,10.6011,0.0681517
6,7.16072,1.83856,-4.55139,-0.464114,6.95687,3.48082,0.733173,2.91346,-2.99019,-4.43761,8.34309,3.68727,0.769519,3.41828,7.93606,0.616127,-2.13723,-3.09571,-12.1372,4.90036,1.80111,-3.59523,-12.002,-0.706369,-0.341105,2.77138,-3.22512,-5.38437,1.76723,-0.0864107,1.61435,-4.9137,6.90416,3.09692,5.16591,-4.3148,-0.00360306,5.11857,2.63455,0.797308,5.14138,8.66128,2.25842,1.64233,2.59515,2.26608,-6.10747,-1.05288,10.86,0.0734954
6.5,7.75288,1.08816,-5.10224,-0.408181,7.48196,3.82691,-0.220372,3.09568,-3.31903,-4.42864,9.19521,3.98825,0.762931,3.72779,8.56322,1.56234,-2.30064,-5.04196,-15.0059,5.37216,2.25425,-3.97078,-13.5136,-0.77791,-0.326302,2.74088,-4.55368,-5.79523,1.90463,-0.727635,1.69773,-5.29223,7.54495,3.3871,5.55091,-4.69386,0.0455031,5.45793,1.93608,0.855054,5.54314,9.90398,2.3926,2.19555,2.86071,3.13462,-5.82255,-1.17055,11.7518,0.07872
7,8.33699,1.12824,-5.58401,-0.449892,8.36528,4.1743,-0.427382,2.87192,-3.64798,-4.57187,10.3238,4.82757,0.75593,3.89761,9.02023,2.25048,-2.03834,-5.38098,-16.2122,5.83012,3.22593,-4.25801,-14.1313,-0.830398,-0.277067,2.60046,-4.87833,-6.15466,1.54235,-1.34821,1.78132,-6.70452,8.18584,4.51227,5.93647,-5.43745,0.180463,7.34356,2.12868,1.31942,7.47769,11.6422,2.52672,2.39091,3.1262,3.41978,-6.28439,-1.28915,12.6432,0.0840082
7.5,8.8916,1.17023,-6.0657,-0.013163,8.90915,4.89798,-0.433603,0.660491,-4.15249,-4.94126,11.0535,5.19254,0.748572,4.34892,8.04836,2.39519,-1.85828,-5.7214,-17.4188,5.99809,3.8847,-4.41864,-15.7025,-0.981585,-0.248275,2.2329,-5.2197,-6.54535,1.64223,-1.49847,1.88512,-8.02498,9.30112,4.86207,6.32211,-5.83826,0.142585,7.84067,1.34501,1.39433,7.99091,12.475,3.59309,2.48774,4.06705,3.62603,-6.74645,-1.74309,12.8928,0.0861629
8,9.48647,1.21379,-6.54775,-0.0308458,9.45343,5.27207,-0.358364,0.670766,-4.5062,-5.2648,11.7821,6.88319,0.671242,4.66034,8.5758,2.53822,-1.98267,-6.05934,-18.6254,6.4346,4.40885,-4.766,-17.1999,-1.40822,-0.221815,2.38483,-5.93439,-7.2048,1.74254,-2.32398,2.25046,-8.53415,9.97293,5.21286,6.70737,-6.24059,0.1911,8.2862,1.48011,1.25911,8.50411,12.1886,3.78748,2.81758,4.36228,4.8505,-7.2084,-1.87921,13.7468,0.09173
8.5,10.0751,0.573399,-7.02924,0.0717807,9.99754,7.13933,-0.44567,0.681266,-4.86003,-5.6378,12.5107,7.32419,0.661892,5.26624,9.44728,2.68309,-1.08182,-7.30142,-19.8323,6.87979,4.94035,-5.25955,-18.3299,-1.46229,-0.481552,2.55691,-6.32626,-7.96088,1.55784,-2.91938,2.41503,-9.374,10.9916,6.11498,7.81863,-6.64304,0.239759,8.68585,1.55424,1.58241,9.01723,14.1404,3.98046,3.01304,4.65395,4.51661,-7.67052,-2.01538,14.2734,0.0965655
9,10.6487,0.234347,-7.51146,0.0590932,10.9108,7.60948,-0.350042,0.691965,-5.98619,-6.01108,12.9787,7.6328,0.652901,5.70899,9.64001,3.27345,-1.15278,-7.72248,-21.0392,7.32398,5.46244,-5.61576,-19.4583,-2.03102,-0.742261,2.68676,-6.66686,-8.45555,1.63307,-3.13527,2.51428,-9.89908,11.6826,6.88551,8.61681,-7.04874,0.27331,9.13346,1.68706,1.38188,9.81824,14.9732,4.87716,3.2085,4.94748,4.75129,-8.10819,-2.1516,15.1072,0.101817
9.5,11.2146,0.218476,-7.93086,-0.107016,11.0856,8.07965,-0.345799,0.70279,-6.3966,-6.38448,13.6915,8.08072,0.00820488,5.86274,10.1729,3.80181,-1.22368,-8.14369,-23.7103,5.19457,5.97623,-5.97792,-20.9782,-1.92051,-0.755077,2.42565,-7.03792,-8.90523,1.88917,-3.35054,2.73785,-10.4242,12.3723,7.60009,9.06613,-7.45014,0.337128,9.58069,1.8232,1.72369,10.3483,15.806,5.1061,3.40397,5.35677,4.98593,-8.57241,-2.28774,15.9411,0.100048
10,11.912,-0.191436,-7.85309,-0.131597,12.0433,8.5497,-0.341432,0.956604,-6.807,-6.75819,14.4043,8.52791,-0.03103,6.15885,10.7043,3.98948,-1.04086,-8.56502,-25.0979,3.66481,8.01983,-6.08118,-21.7184,-2.01763,-0.765637,2.69389,-7.40771,-9.39138,1.97444,-4.07982,2.84568,-10.9494,13.0611,8.02225,9.51958,-8.34666,0.486075,10.0281,1.95671,1.79418,10.9294,16.6388,5.33365,3.59949,5.65595,5.22077,-9.03653,-2.42399,16.775,0.104874
