Target Returns,Backtest Period: 1,Backtest Period: 2,Backtest Period: 3,Backtest Period: 4,Backtest Period: 5,Backtest Period: 6,Backtest Period: 7,Backtest Period: 8,Backtest Period: 9,Backtest Period: 10,Backtest Period: 11,Backtest Period: 12,Backtest Period: 13,Backtest Period: 14,Backtest Period: 15,Backtest Period: 16,Backtest Period: 17,Backtest Period: 18,Backtest Period: 19,Backtest Period: 20,Backtest Period: 21,Backtest Period: 22,Backtest Period: 23,Backtest Period: 24,Backtest Period: 25,Backtest Period: 26,Backtest Period: 27,Backtest Period: 28,Backtest Period: 29,Backtest Period: 30,Backtest Period: 31,Backtest Period: 32,Backtest Period: 33,Backtest Period: 34,Backtest Period: 35,Backtest Period: 36,Backtest Period: 37,Backtest Period: 38,Backtest Period: 39,Backtest Period: 40,Backtest Period: 41,Backtest Period: 42,Backtest Period: 43,Backtest Period: 44,Backtest Period: 45,Backtest Period: 46,Backtest Period: 47,Backtest Period: 48,Backtest Period: 49,Backtest Period: 50
0.055,0.00163822,0.00132444,0.00171302,0.00138993,0.00159682,0.00129755,0.00174969,0.0016879,0.00149404,0.0018444,0.00181214,0.00169675,0.00108677,0.00110942,0.00114056,0.00134074,0.00128861,0.00165702,0.00215256,0.00216948,0.00203256,0.00345223,0.00215611,0.00215927,0.00173282,0.00229217,0.00252332,0.00166886,0.00116352,0.0013618,0.00171093,0.00146813,0.00200659,0.00180457,0.00187909,0.00134173,0.00181821,0.00185787,0.0014663,0.00143306,0.00153928,0.0013317,0.00131339,0.00123441,0.00169258,0.0012278,0.0013567,0.00202734,0.00208634,0.00220998
0.06,0.00195466,0.00159193,0.00206624,0.00158976,0.00192612,0.00157287,0.00200317,0.00202854,0.00142105,0.00221492,0.00216711,0.00162215,0.00129581,0.0011451,0.00135581,0.001594,0.00141446,0.00197906,0.00248412,0.00252767,0.00234537,0.00408879,0.00253066,0.00256626,0.00204842,0.00270327,0.00296818,0.00198599,0.00130055,0.00161595,0.00183568,0.00164849,0.00226036,0.00214247,0.00222032,0.001461,0.00197028,0.00209963,0.00145645,0.00155184,0.00167495,0.00158133,0.00155547,0.00146047,0.00200316,0.00145265,0.00146564,0.00226215,0.00234886,0.00264334
0.065,0.00230897,0.00174277,0.00227056,0.00176718,0.00229081,0.00187315,0.0020611,0.00240097,0.00167705,0.00247802,0.00245491,0.00190436,0.00152373,0.0013364,0.00158807,0.00174083,0.00166343,0.00215014,0.00270431,0.00296269,0.00273282,0.0047801,0.00289734,0.00299422,0.00238871,0.00308059,0.00313816,0.0022525,0.00152315,0.00176792,0.00215643,0.00194082,0.00265333,0.00250966,0.00258827,0.00171607,0.00231081,0.00245871,0.00159584,0.0018134,0.00196289,0.00176423,0.00181841,0.00158731,0.00234048,0.00151197,0.00150744,0.00266084,0.00276564,0.00302516
0.07,0.00269105,0.00203665,0.00265743,0.00207535,0.00251679,0.00220095,0.00226524,0.00264356,0.00195451,0.00270342,0.00274812,0.00208889,0.0017706,0.00163259,0.00168001,0.00192974,0.00181624,0.0025014,0.00312567,0.0034285,0.00299542,0.00546813,0.00340052,0.00346758,0.0026797,0.0034286,0.00360903,0.00251692,0.0015976,0.00194078,0.00250374,0.00211527,0.00307825,0.00263587,0.00298711,0.00188952,0.00277769,0.00248792,0.00184302,0.00176466,0.00200867,0.00194488,0.00210232,0.00183232,0.00270443,0.0016454,0.00174216,0.00308973,0.00321664,0.003523
0.075,0.00305049,0.00235509,0.00307473,0.00197806,0.00291222,0.002425,0.00263178,0.00214427,0.0020143,0.00312106,0.00316529,0.00240394,0.00203635,0.00176351,0.00160171,0.00221856,0.00199248,0.00287857,0.00357783,0.00376954,0.0033432,0.00610579,0.00380899,0.00389163,0.00301212,0.00381049,0.00412248,0.00288964,0.00183065,0.00222546,0.00272475,0.0022951,0.00341994,0.00302151,0.0034144,0.00216783,0.00307128,0.00297199,0.0019415,0.00201571,0.00230443,0.00223126,0.00214765,0.0019932,0.00255817,0.00188465,0.00199436,0.00342469,0.00353158,0.00394851
0.08,0.00349004,0.00269801,0.00352349,0.00227233,0.00333691,0.00278693,0.00292357,0.00245953,0.0022986,0.00346886,0.00361017,0.00242411,0.00218443,0.00199912,0.00182271,0.00252645,0.00227142,0.00328509,0.00406079,0.00428192,0.00378359,0.00693545,0.00417823,0.00437166,0.00341692,0.00431656,0.00453818,0.00323477,0.00207997,0.00241769,0.00295479,0.00261847,0.00389308,0.00343364,0.00386935,0.00246628,0.00349214,0.00337401,0.00220271,0.00204789,0.00262058,0.00265516,0.00243332,0.00211208,0.00290511,0.00187966,0.00226385,0.00390271,0.00402903,0.00453993
0.085,0.00395659,0.00295691,0.00400161,0.00248117,0.0037906,0.00287174,0.00344783,0.00279662,0.00260184,0.00393568,0.00408441,0.0027402,0.00247029,0.00179672,0.00216363,0.00285625,0.00246373,0.00334846,0.00457456,0.00482754,0.00425082,0.00776416,0.00469852,0.00492227,0.00379312,0.00485945,0.00509733,0.00358924,0.00227032,0.00264647,0.00320063,0.00285765,0.00424815,0.00375866,0.00422048,0.00278394,0.00394044,0.0036491,0.00233566,0.00242069,0.00295728,0.00286358,0.00274051,0.0023761,0.00327066,0.00225367,0.00255082,0.00441218,0.00441892,0.00511876
0.09,0.00444752,0.00325346,0.00451207,0.00280289,0.0041717,0.0032455,0.00376689,0.00315544,0.00257746,0.00443225,0.00447003,0.00272481,0.00277415,0.00212071,0.00231052,0.00306171,0.00276773,0.00376137,0.00511913,0.00540609,0.0047464,0.00868649,0.00524728,0.0054425,0.00413093,0.0054203,0.00567486,0.00395946,0.00253959,0.00296566,0.00359133,0.00321132,0.00476538,0.00406782,0.00455331,0.00312603,0.00419142,0.00408591,0.00261338,0.00257129,0.00318911,0.00320964,0.00290989,0.00265586,0.00366002,0.00252307,0.00270169,0.00495305,0.0049652,0.00576352
0.095,0.00496272,0.00364166,0.00492518,0.00302267,0.00478487,0.00364225,0.00422876,0.00353603,0.0028775,0.00495791,0.00498899,0.00303814,0.00266563,0.0022351,0.00257641,0.00332408,0.00308954,0.00419844,0.00504604,0.00574539,0.00526907,0.00965738,0.0057738,0.00609767,0.00459264,0.00588424,0.00631245,0.00441045,0.00270767,0.00330293,0.00388771,0.00358577,0.00531244,0.0044476,0.00505926,0.0034816,0.00491859,0.00454747,0.00290691,0.0030031,0.00355313,0.00357558,0.00323569,0.00295133,0.00382352,0.00280785,0.00300595,0.00552567,0.00554351,0.0062489
0.1,0.0054615,0.00384895,0.00537397,0.00337024,0.00519969,0.00406195,0.00471746,0.00377375,0.00319401,0.00551329,0.00553657,0.00336814,0.00295894,0.00247221,0.0028562,0.00368797,0.00332829,0.00465965,0.0055834,0.00627924,0.00560324,0.0106273,0.00644229,0.00675321,0.00508015,0.0065639,0.00696372,0.00484589,0.00299713,0.00353,0.00431073,0.00398099,0.00588935,0.00492397,0.00559189,0.00374555,0.00531774,0.00503392,0.00321615,0.00331812,0.00377104,0.00396142,0.00358173,0.00326255,0.00423026,0.00310799,0.00332668,0.00612954,0.00615384,0.0069388
